Price,Area,No. of Bedrooms
22200000,2243,3
22300000,1620,3
8863000,1235,2
22200000,3010,3
12900000,2455,3
8896000,1235,2
22599999,2235,3
12800000,2243,3
9098000,1225,2
10400000,3210,4
9165000,1830,3
2899000,1230,2
7800000,3265,4
18500000,1810,3
2899000,1260,2
23500000,1460,3
10300000,1270,2
16000000,779,2
10300000,1425,2
14600000,2835,4
11700000,779,2
11700000,2150,3
14300000,988,1
13799999,1445,2
8534000,1245,2
7797000,1740,3
10100000,1430,2
10600000,1420,2
8166000,1665,3
6912000,1630,3
5702000,1390,2
5280000,1270,2
7728000,1660,3
5520000,1730,3
5712000,1330,2
8043000,1440,3
6845999,1188,2
9173000,1100,2
8411000,1610,3
7797000,1150,2
10100000,1190,2
10600000,1310,2
8166000,1042,2
6912000,1408,3
5702000,1370,2
5280000,1270,2
7728000,1660,3
5520000,1730,3
5712000,1330,2
8043000,1440,3
6845999,1188,2
9173000,1100,2
8411000,1610,3
8104000,1150,2
9471000,1190,2
10400000,1310,2
10100000,1042,2
8473000,1408,3
10700000,1370,2
10300000,1320,2
7920000,1455,3
8780000,1710,3
10400000,1650,3
10200000,1380,2
11000000,1750,3
10500000,1690,3
10900000,1290,2
8600000,1430,3
9700000,1700,3
11399999,1670,3
11000000,1800,3
10000000,1720,3
9700000,1770,3
10800000,1377,2
11200000,1569,3
11000000,1846,3
9900000,1780,3
9200000,1624,3
8400000,1559,3
8649000,1741,3
9709000,1814,3
8665000,1719,3
9385000,1595,3
6953000,1466,2
8691000,1331,2
6659999,1657,3
8087000,1860,3
6213000,1660,3
7840000,1798,3
8897000,1332,2
7262000,1665,3
16000000,1172,2
5000000,1478,3
9000000,1251,2
3062000,1589,3
28000000,1629,3
2975000,1462,3
3217000,1590,3
3217000,1096,2
17300000,1500,3
22599999,545,2
6200000,3012,4
6175000,850,2
6125000,1154,2
5975000,1154,2
5925000,1792,3
6150000,2370,3
5950000,1240,2
3311999,1235,2
5408000,1225,2
7000000,1195,2
2288000,1185,2
3859000,1230,2
7900000,1190,2
7984999,940,2
24000000,1040,2
18700000,1500,3
18700000,520,1
29300000,950,2
20600000,1386,3
19100000,1401,3
17100000,3200,4
14800000,2504,4
16200000,2503,4
14900000,3012,4
17200000,2750,3
22799999,2550,3
3357000,2289,3
11500000,1975,3
24400000,2172,3
24000000,1987,3
64200000,1776,3
23000000,2370,3
3335000,763,1
4698000,1600,3
7263000,3200,4
7533000,2750,3
7965000,4465,4
6993000,2730,4
9261000,947,2
9612000,870,2
8181000,1345,3
6939000,1395,2
7884000,1475,3
8451000,1295,2
11000000,1715,3
14300000,1780,3
2940000,1515,3
4500000,1285,3
2351000,1460,3
9666000,1565,3
6403000,1482,3
5901000,1345,2
7500000,850,2
3400000,1080,2
4772000,618,2
2922000,1859,3
10900000,1441,3
10800000,1318,3
10800000,1217,2
10800000,943,3
3400000,1085,2
14500000,835,2
6015000,1820,3
5750000,1815,3
7498999,1805,3
6174000,1800,3
5883000,943,3
7208000,1622,3
6360000,1135,2
8081999,1085,2
6015000,1415,3
5750000,1165,2
3399000,1110,2
7100000,1360,3
8159999,1200,2
7489000,1525,3
3047000,1135,2
14000000,1085,2
2745000,924,3
4133000,1100,2
4704000,1540,3
4428000,1157,3
4852000,1018,2
5812000,1840,3
4372000,645,1
4664000,1025,2
10800000,1176,3
8499000,1107,2
10100000,1213,3
10100000,1453,3
8256000,1093,2
8460000,1166,3
10800000,1703,3
8306999,1328,2
8294000,1585,3
20200000,1592,3
9326000,1290,2
40000000,1322,2
6290000,1695,3
10400000,1298,2
8400000,1296,2
6015000,2353,3
5883000,1760,3
5750000,2500,3
7155000,1700,2
7498999,2005,3
22500000,1500,3
29000000,1135,2
27200000,1110,2
26700000,1085,2
27200000,1350,3
4237000,1415,3
3735000,2050,3
3488000,2475,3
3077000,3340,4
2800000,3275,4
3300000,3340,4
6332000,1467,3
6564000,920,2
2600000,1090,2
4100000,905,2
3900000,875,2
3400000,435,1
16000000,1195,2
18000000,1240,3
7498999,875,2
6174000,1045,2
5883000,1000,2
7208000,874,2
6360000,2100,3
7500000,2028,3
12000000,1415,3
6700000,1165,2
6917000,1110,2
22799999,1360,3
2288000,1200,2
5835000,1293,2
6038000,1330,2
10500000,1200,3
8634000,1250,2
6200000,3978,4
3087000,520,1
2300000,1025,2
17300000,1285,2
6587000,1575,3
7797000,1275,2
10900000,1339,2
8302000,908,3
4810000,735,1
16200000,1792,3
20700000,1056,2
3869000,1250,2
3869000,1760,3
8000000,1331,2
4978000,910,2
5184000,2545,4
3744000,1915,3
5004000,1060,2
3744000,1060,2
5004000,996,2
4720000,1310,3
5822000,1440,3
5289000,1040,2
5043000,1390,3
4034000,1040,2
4944000,1390,3
6879000,1180,2
6502000,1420,3
3900000,1290,2
7936000,1230,3
15500000,984,2
16900000,1206,2
97500000,1678,3
4200000,1586,3
12000000,1223,2
4476000,1320,2
16000000,2185,4
30600000,2730,3
3232000,7180,5
8081999,1075,3
6015000,1294,2
5750000,995,2
40800000,1978,3
13500000,3035,3
4133000,1010,2
3700000,1525,3
16500000,1135,2
97500000,1085,2
5891000,4000,4
9722000,1806,3
6498000,1025,2
17700000,1325,3
10200000,2317,3
3796000,7350,5
7800000,1080,1
6500000,1630,3
4133000,1205,2
6043000,2850,3
23000000,1715,3
6554000,1040,2
7248000,1470,3
7433000,1200,2
5118000,1025,2
5383000,1185,2
6033000,2730,4
7448000,1080,2
6813000,1450,3
7838000,1487,3
6513000,1024,2
4649000,1077,2
6618000,1207,2
6628000,1490,3
5063000,1363,3
3900000,1568,3
6600000,1303,3
3650000,930,2
8700000,1324,3
4900000,1326,3
2150000,1013,2
11000000,920,2
11000000,1225,2
11000000,1005,2
11000000,1414,3
3180000,1090,2
2300000,540,1
4260000,1482,3
68100000,1482,3
8126000,1482,3
7367000,1482,3
6025000,1060,2
5782000,735,1
5592000,1065,2
7687000,2714,4
23000000,1195,3
11500000,1440,2
17400000,1090,1
19000000,1060,1
5420000,1030,1
2600000,1550,2
4061999,2730,4
13200000,1626,3
4500000,2685,3
4500000,2805,4
3800000,1050,2
23300000,780,2
5175000,1401,3
17200000,1660,3
22799999,1045,2
29300000,1110,2
2500000,1110,2
3135000,2425,3
2585000,1150,2
3711999,1776,3
3190000,2370,3
2640000,3012,4
2915000,785,1
4363000,1140,2
8500000,940,2
9595000,1320,3
4772000,1160,2
11700000,960,2
7648999,1060,2
4100000,1212,2
16100000,1657,3
3301000,1389,2
22000000,1085,2
3030000,1476,3
11000000,1471,3
11000000,793,1
7227000,1660,3
4230000,1065,2
4133000,3525,4
3613000,1010,2
7545999,1482,3
9298000,1482,3
9091000,1310,2
9115000,1410,3
7575000,1025,2
7569000,1004,2
7640000,1279,2
9162000,1576,3
9156000,1541,3
9221000,1545,3
6700000,1284,2
24600000,1283,2
3232000,1295,2
3650000,1553,3
13300000,1552,3
13300000,1563,3
24700000,1007,2
10600000,3600,4
12400000,1010,2
13100000,1002,2
20099999,1902,3
11399999,1900,3
18400000,4132,4
16800000,1517,2
21600000,1780,3
18000000,1882,3
12800000,3350,4
12800000,1634,2
26400000,3077,4
10100000,2813,4
10000000,3600,4
12800000,3000,4
12900000,1836,3
11900000,1835,3
11900000,4410,4
30000000,1444,2
13799999,1441,2
9975000,1839,3
13600000,1843,3
17700000,1712,3
12700000,1710,3
17200000,5000,4
12700000,1978,3
32799999,1425,2
24300000,1956,3
33900000,2950,4
23100000,1824,3
25600000,2870,4
24000000,1826,3
40599999,3463,4
40800000,2563,3
28300000,3571,4
23500000,2437,3
40199999,2700,4
9912000,2536,3
21400000,4282,4
40500000,4300,3
41600000,3033,4
9758000,2482,3
41100000,3498,4
23500000,1416,2
20900000,2378,3
29900000,4273,4
10800000,3621,4
8583000,1394,2
8062000,4336,4
7651000,2522,3
7645999,2200,3
9795000,3205,4
9790000,1703,3
8116000,1410,3
8583000,1493,2
8499000,1417,2
10100000,1416,2
7984999,1814,3
10100000,1813,3
8256000,1503,2
28400000,1410,3
8460000,1328,2
25000000,1585,3
10800000,1305,2
28200000,1592,3
25299999,1290,2
8306999,2411,3
43300000,1322,2
89800000,2124,3
18600000,1695,3
11000000,2399,3
20400000,2145,3
23400000,1298,2
11900000,3467,4
9300000,6330,4
23100000,2200,3
13300000,1830,3
13200000,2405,3
13200000,2353,3
13100000,2170,3
12900000,1691,3
13700000,2480,3
9100000,1914,3
10900000,1890,3
9996000,1895,3
12600000,1874,3
13500000,1851,3
12600000,1967,3
8441000,1300,2
11200000,1561,2
23400000,1428,2
11900000,1803,3
9300000,1932,3
23100000,1806,3
13300000,1200,2
13200000,1630,3
13200000,2353,3
13100000,2170,3
12900000,1691,3
13700000,2480,3
9100000,1914,3
10900000,1890,3
9996000,1895,3
12600000,1874,3
13500000,1851,3
12600000,1967,3
11600000,1300,2
13500000,1561,2
20500000,1428,2
17300000,1803,3
25800000,1932,3
12800000,1806,3
5000000,1671,2
12100000,1936,3
10200000,3432,3
8441000,2890,4
11200000,4300,4
40400000,1875,3
33100000,695,1
33600000,1760,3
32000000,1470,2
19500000,1200,2
10700000,1630,3
13200000,3517,4
13000000,2883,3
11000000,2929,3
12400000,2791,3
8306000,2805,4
18500000,1510,3
9486000,1880,3
14500000,1850,3
14700000,1110,3
8789000,1250,3
12000000,840,2
14900000,1884,4
8403000,958,2
10900000,1450,3
10900000,1489,3
9451000,859,2
9423000,1167,3
12800000,1494,3
9513000,832,2
12700000,1104,3
8485000,1105,3
18800000,948,2
12300000,949,2
5800000,1287,3
123000000,957,2
11900000,1262,3
8159999,842,2
8140000,1935,4
8159999,1204,3
7950000,1100,2
6150000,6200,4
3869000,1740,3
3869000,1675,3
13799999,1670,3
17900000,1675,3
10700000,1630,3
7487000,1230,2
5578000,1065,2
7959999,1065,2
11100000,1900,3
11500000,2700,4
3000000,1815,3
4564000,1407,3
200000000,1070,2
4304000,1630,3
4304000,1083,2
3232000,1127,2
59500000,935,2
6800000,1141,2
8900000,8500,5
17000000,1076,2
33900000,1076,2
21500000,1010,2
9600000,2920,4
9318000,1360,2
10000000,1330,2
2840000,1776,3
7159999,3375,4
29900000,2378,3
4305000,1235,2
40199999,1792,3
3650000,1595,3
3030000,940,2
2100000,1477,3
4948000,2376,3
6500000,1230,3
9500000,3240,3
9200000,1005,2
10500000,1010,2
8200000,720,1
10900000,1100,2
3869000,1310,2
3869000,1235,2
3869000,1830,3
6000000,1570,3
31000000,1555,3
11900000,2204,4
8033000,1060,2
8877000,1060,2
3030000,1060,2
3950000,1690,4
5000000,3000,2
11900000,1598,3
6200000,1341,2
2310000,1482,3
4057000,1010,2
3700000,883,2
12500000,888,1
3902000,1887,3
2800000,1320,2
9500000,660,2
11100000,1400,3
11200000,920,2
6251000,1763,3
3232000,985,2
2150000,873,2
5305000,1500,3
5143000,2145,3
7559999,2064,3
5229000,1115,2
8545000,1010,2
5364000,590,1
8716000,1179,2
7373000,1143,2
4985000,1680,3
10900000,1162,2
,,
5500000,1310,3
5350000,1126,2
8205000,1307,3
23400000,3600,3
10100000,1700,3
2950000,576,1
7600000,1207,3
2234000,604,2
5521000,986,2
6321000,1345,3
3404000,510,1
11600000,1508,3
6536000,1245,2
24200000,1565,3
8162000,1306,2
6190000,1113,2
9613000,1479,3
7542000,1640,3
6338000,1112,2
2724000,645,2
5500000,1310,3
5350000,1126,2
8205000,1307,3
23400000,3600,3
10100000,1700,3
2950000,576,1
7600000,1207,3
2234000,604,2
5521000,986,2
6321000,1345,3
3404000,510,1
11600000,1508,3
6536000,1245,2
24200000,1565,3
8162000,1306,2
6190000,1113,2
9613000,1479,3
7542000,1640,3
6338000,1112,2
2724000,645,2
3388000,738,2
3175000,804,2
19100000,2474,4
4065999,701,2
6500000,1350,2
5500000,785,2
3500000,538,1
17000000,1361,2
2499000,677,2
4165999,868,2
4875000,920,2
3442000,850,2
4165000,850,2
5298000,1019,2
5184000,1080,3
10000000,1943,3
6225000,1245,3
5599000,817,2
6100000,1185,3
2960000,779,2
7200000,1330,2
35000000,2011,4
4998000,1112,2
3400000,612,2
6500000,900,2
8675000,1641,3
6259000,963,2
3400000,1062,3
12000000,940,2
5999000,1400,3
10400000,1671,3
8000000,1952,3
5003000,944,2
4192000,975,1
5500000,1060,3
9110000,1481,3
3377000,965,2
5978000,1128,3
6000000,1219,3
12000000,1300,2
9086000,1298,3
9500000,1900,3
5500000,1213,3
20000000,1560,3
17500000,2325,3
6800000,1389,3
6463000,1250,3
6409999,1603,3
5000000,1000,2
5261000,1238,3
3083000,801,2
6409999,1603,3
3000000,789,2
43000000,2533,3
4153000,923,2
13200000,2000,3
3850000,960,2
19300000,1170,2
9000000,1471,3
6500000,1181,3
3072000,768,2
4800000,657,2
7400000,1187,3
2500000,700,2
4100000,954,2
3032000,722,2
9746000,1645,3
6203000,1443,3
3500000,894,2
7936000,1323,3
4000000,745,2
2800000,560,1
43099999,2056,2
10000000,920,3
9000000,1250,2
3881000,721,2
3300000,855,2
11700000,1569,3
13600000,850,2
7000000,1140,2
2771000,660,1
2699000,643,1
5022000,1196,2
2657000,633,1
3888000,926,2
2729000,650,1
8108000,1931,3
3306000,538,1
8248999,1314,3
6447000,1027,2
8525000,1358,3
6428000,1024,2
16800000,2686,4
9799000,1561,3
8136000,1296,3
9831000,1566,3
11399999,1829,3
9818000,1564,3
8462000,1348,3
12200000,1944,3
16500000,2640,4
3372999,549,1
16500000,2630,4
16399999,2616,4
10000000,1599,3
42900000,6600,4
23400000,3600,4
6834000,1140,2
6773999,1130,2
7194000,1200,2
3990000,855,2
3806000,635,1
7044000,1175,2
9861000,1645,3
7014000,1170,2
10500000,1760,3
10400000,1740,3
7134000,1190,2
10300000,1730,3
7295999,1536,3
6360000,1339,2
8507000,1791,3
5500000,936,2
7550000,1179,3
5735000,988,2
5560000,955,2
7700000,1224,3
5580000,958,2
5520000,948,2
2397000,648,2
3746000,625,1
7253000,1210,2
7283000,1215,2
10900000,1790,3
7056999,1502,3
29200000,5037,5
29500000,5093,5
8763000,1865,3
6025000,1076,2
5768000,1030,2
4547000,812,2
5208000,930,2
7280000,1300,3
6495000,1382,3
6791000,1445,3
7289000,1551,3
7642000,1626,3
4641000,753,2
4907000,801,2
4685000,761,2
4498000,727,2
4812000,784,2
11000000,1431,3
11500000,1494,3
10000000,1296,3
10000000,1302,3
11000000,1432,3
10500000,1367,3
10400000,1349,3
12000000,1551,3
11500000,1485,3
10400000,1353,3
10400000,1352,3
10800000,1396,3
6504000,1239,2
8646000,1647,3
6452000,1229,2
8494000,1618,3
6441000,1227,2
6462000,1231,2
6456999,1230,2
8421000,1604,3
6342000,1208,2
2766000,527,1
9357000,1671,3
8431000,1606,3
10200000,1827,4
8473000,1614,3
6300000,1200,2
8657000,1546,3
8237000,1569,3
8131000,1452,2
3013000,574,1
3024000,576,1
7201000,1286,2
6909000,1316,2
8680000,1550,3
8158000,1554,3
7956999,1421,2
2971000,566,1
6762000,1288,2
7218000,1289,2
2982000,568,1
8205000,1563,3
8920000,1593,3
6834999,1302,2
8556000,1528,3
2961000,564,1
11500000,1846,3
11500000,1850,3
4140000,920,2
4284000,952,2
4275000,950,2
4009000,891,2
4302000,956,2
4077000,906,2
4441000,987,2
4468000,993,2
4171000,927,2
4239000,942,2
4189000,931,2
3892000,865,2
15000000,1161,3
27300000,1500,3
7784999,1437,3
7841000,1310,3
5663000,1006,2
6224000,1120,2
6219000,1119,2
6214000,1118,2
5778000,1004,2
6200000,1115,2
6195000,1114,2
5648000,1003,2
6245000,1094,2
5816000,1026,2
6141000,1103,2
6003000,1075,2
5993000,1073,2
5682000,1010,2
5678000,1009,2
6776000,1124,2
6853000,1133,2
7527000,1158,2
6662000,1025,2
10300000,1594,3
6083000,1106,2
10200000,1816,3
11500000,2096,4
8563000,1557,3
3211999,584,1
8981000,1633,3
3289000,598,1
5461000,993,2
39000000,2200,4
7542000,1640,3
5226000,917,2
6629000,1163,3
5580000,979,2
5295000,929,2
5889000,906,2
6123000,942,2
6552000,1008,2
7780000,1197,3
6584000,1013,2
7163000,1102,3
5934000,913,2
10200000,1571,3
7415000,1141,2
6758000,1040,2
9612000,1479,3
7252000,1116,2
7525000,1158,2
6667000,1026,2
6661000,1025,2
10300000,1594,3
10100000,1568,3
6934000,1067,2
6967000,1515,3
6967000,1515,3
6506999,1415,2
6506999,1415,2
2529000,541,1
2542000,544,1
3404999,742,2
3397000,740,2
2525000,540,1
3392000,739,2
2725000,586,1
3327000,724,2
2710000,583,1
2567000,550,1
3418000,745,2
2708000,582,1
2550000,546,1
3427000,747,2
2259000,572,2
2014000,510,1
2772000,702,2
3183000,806,2
2788000,706,2
2002000,507,1
2768000,701,2
2765000,700,2
3242000,821,2
2456000,622,2
2449000,620,2
2445000,619,2
2476000,627,2
2061000,522,1
2425000,614,2
3199000,810,2
2050000,519,1
2441000,618,2
17600000,2277,4
13000000,1800,3
19500000,2533,4
13899999,1938,3
20200000,2621,4
14300000,1990,3
13100000,1825,3
5712000,952,2
4776000,796,2
7620000,1270,3
5580000,930,2
5382000,897,2
4695000,821,2
5833000,1020,3
5267000,921,2
7028000,1229,3
5101000,892,2
3597000,629,1
13300000,1846,3
9500000,1306,2
13700000,1850,3
6333000,1092,2
4065999,701,2
4513000,778,2
2743000,638,1
2089999,550,1
33500000,2684,4
21600000,1733,3
2499000,677,2
2827000,589,1
4684000,976,2
4204000,876,2
5908000,1231,3
2500000,677,2
2750000,677,2
4684000,884,2
4843000,914,2
4398000,830,2
3442000,850,2
3442000,850,2
3554999,900,2
3554999,900,2
3554999,900,2
3442000,850,2
3627000,930,2
3627000,930,2
3675000,750,2
5243000,1070,2
6181000,951,2
3159000,486,1
5993000,922,2
8131000,1251,3
6955000,1070,2
5205000,1001,2
5460000,1050,2
4617000,888,2
6240000,1200,3
11500000,1000,2
8000000,1000,2
3479999,725,2
3868000,806,2
3628000,756,2
3676000,766,2
5000000,1000,2
5015000,1003,2
5805000,1161,3
4490000,898,2
5599000,815,2
6100000,1185,3
2900000,560,1
2800000,540,1
5400000,1035,2
17400000,1250,3
2500000,570,2
2475000,570,1
2480000,575,1
5300000,1020,2
2520000,677,2
2675000,677,1
2475000,677,2
3443000,900,2
2003000,552,1
3347000,881,2
2731000,700,2
3700000,892,2
5000000,840,2
12000000,900,2
10000000,1200,3
8500000,1500,3
5750000,1100,2
5350000,1045,2
2475000,677,2
2480000,677,2
2495000,677,2
4200000,1054,2
4230000,1055,2
2500000,677,2
2475000,677,2
2475000,677,2
2480000,677,2
2495000,677,2
4200000,1054,2
4230000,1055,2
2295000,574,1
3701000,892,2
2525000,677,2
2450000,570,1
2460000,570,1
4300000,1100,1
4200000,915,1
4250000,1000,1
4350000,1200,1
2400000,570,1
2450000,550,1
2490000,570,1
2400000,550,1
2485000,570,1
2475000,570,1
2500000,570,1
2475000,575,1
2700000,677,1
2500000,570,1
2475000,570,1
2475000,570,1
2650000,677,2
2675000,677,2
4841000,1077,2
4688000,1043,2
6054000,1347,3
5758000,1281,3
5937000,1321,3
6117000,1361,3
5816000,1294,3
4904000,1091,2
4665000,1038,2
4481000,997,2
6461000,994,2
6396000,984,2
6461000,994,2
6636000,1031,2
6259000,963,2
6259000,963,2
6396000,984,2
6389000,983,2
6396000,984,2
5400000,840,2
5050000,840,2
3800000,550,1
4934000,999,2
3400000,603,2
5800000,1152,2
3143000,603,1
3200000,612,1
4020000,804,2
4750000,950,3
4455000,891,2
3020000,604,1
4285000,857,2
3865000,773,2
5025000,1005,3
4250000,850,2
6265000,895,2
5070000,845,2
5850000,975,2
3000000,550,1
3510000,900,2
3627000,930,2
3510000,900,2
2750000,550,1
2850000,550,1
6600000,900,2
6948000,1069,2
6461000,994,2
6389000,983,2
6396000,984,2
6461000,994,2
6461000,994,2
6461000,994,2
6389000,983,2
6389000,983,2
6396000,984,2
6461000,994,2
3400000,1062,3
4831000,880,2
9548000,1469,3
6396000,984,2
9158000,1409,3
6389000,983,2
6831000,1051,2
6636000,1021,2
6461000,994,2
6565000,1010,2
8222000,1265,3
6948000,1069,2
6259000,963,2
3229000,897,2
4000000,900,2
8222000,1265,3
6389000,983,2
6396000,984,2
6948000,1069,2
9158000,1409,3
6396000,984,2
6389000,983,2
9548000,1469,3
6389000,983,2
6396000,984,2
9548000,1469,3
6565000,1010,2
9158000,1409,3
6259000,963,2
6636000,1021,2
6461000,994,2
9158000,1409,3
9548000,1469,3
8222000,1265,3
9158000,1409,3
9548000,1469,3
8222000,1265,3
7052000,1085,2
4000000,600,1
8353000,1971,3
7252000,1595,3
11399999,1827,4
8037000,1286,2
8881000,1421,2
9956000,1593,3
9550000,1528,3
9387000,1951,4
9400000,1951,4
6500000,1191,3
3581000,591,1
7150000,1180,3
5793000,956,2
3981000,657,2
3581000,591,1
7150000,1180,3
5793000,956,2
3981000,657,2
4165000,1225,3
4165000,1225,3
3321000,977,2
3321000,977,2
6948999,900,2
6912000,895,2
6765000,875,2
4939000,932,2
10800000,1671,3
8494000,1286,2
10100000,1528,3
6845000,875,2
2724000,645,2
4599000,1278,2
6136000,1705,3
4394000,1221,2
5708000,1586,3
6201000,1723,3
5502000,1529,3
4451000,1237,2
5995000,1666,3
9662000,1546,3
9075000,1452,2
9687000,1550,3
9500000,1444,3
9500000,1444,3
10100000,1541,3
10100000,1541,3
9200000,1395,3
9200000,1395,3
47500000,2500,3
21000000,1500,3
29400000,2102,3
22000000,2062,3
33600000,2458,3
22000000,2062,3
28500000,2042,3
21000000,2062,3
15500000,1555,2
6400000,1191,3
37500000,2500,3
65000000,3150,4
65000000,3150,4
2979000,540,1
2950000,525,1
28000000,1970,3
3011000,550,1
7500000,975,2
45000000,3405,4
54900000,3050,3
55599999,2781,4
46900000,2348,3
32500000,2316,3
4063000,945,2
3365000,765,1
3289000,765,1
3117000,725,1
59000000,2902,3
59000000,2902,3
7200000,1330,3
6400000,1183,3
6600000,697,3
3931000,740,2
4730000,900,2
5529000,1060,3
3732000,700,2
4033000,760,2
3931000,740,2
2535000,500,1
3264000,600,1
3347000,640,1
3972999,720,2
2982000,590,2
3869000,700,2
2535000,500,1
5862000,1090,2
2982000,590,2
3732000,700,2
4033000,760,2
3931000,740,2
3264000,600,1
7367000,1198,2
24200000,1938,3
6589000,1100,2
56100000,2610,3
52600000,2450,3
75700000,3225,4
48400000,2255,3
104700000,3810,4
51600000,2400,3
47300000,2200,3
8792000,1307,3
8836000,1314,3
6995999,1027,2
9119000,1358,3
6977000,1024,2
19000000,2686,4
10400000,1561,3
8721000,1296,3
10400000,1566,3
13200000,1829,3
10400000,1564,3
9055000,1348,3
13799999,1944,3
18600000,2630,4
18500000,2616,4
10600000,1599,3
7213000,1173,2
9741000,1584,3
24600000,1970,3
23300000,1871,3
17800000,1431,2
22799999,1831,3
25299999,2394,4
16000000,1517,3
16000000,1516,3
17800000,1685,3
20700000,1954,3
20000000,1888,3
17900000,1695,3
15800000,1496,3
20000000,1891,3
15800000,1495,3
15600000,1474,3
17000000,1611,3
17000000,1610,3
20299999,1923,3
20400000,1925,3
24900000,2350,4
3202000,915,2
3202000,915,2
3202000,915,2
8900000,1018,2
5400000,913,2
5100000,994,2
6500000,734,2
3202000,915,2
3377000,965,2
3885000,1110,2
4000000,1062,2
4000000,1062,2
4000000,1062,2
4000000,1062,2
4000000,1062,2
4000000,1062,2
4000000,1062,2
3322000,852,2
3065000,786,2
2808000,720,2
3276000,840,2
2909000,746,2
3049000,782,2
2858000,733,2
8216000,1565,2
6704000,1277,2
9276000,1767,3
10100000,1938,3
13700000,2627,3
16900000,3234,3
10600000,2020,3
7113000,1355,2
8604000,1639,2
9759000,1859,3
9229000,1758,3
12100000,1506,3
11600000,1444,3
10200000,1282,3
9742000,1215,2
11700000,1464,3
7867000,965,2
8767000,1100,2
8589000,1068,2
30000000,1975,3
30000000,1975,3
6500000,1024,2
4000000,592,1
9000000,1076,2
4000000,1062,2
4000000,1060,2
7500000,1276,2
6396000,984,2
6389000,983,2
6389000,983,2
6831000,1051,2
6461000,994,2
6636000,1021,2
6259000,963,2
6389000,983,2
6565000,1010,2
6948000,1069,2
6461000,994,2
6396000,984,2
6636000,1021,2
6461000,994,2
6389000,983,2
7569000,1321,2
2725000,639,2
2725000,645,2
3500000,750,2
6600000,1002,2
7600000,984,2
5978000,1128,3
5900000,1123,3
4600000,880,2
5700000,1080,3
5700000,1080,3
4200000,809,2
5861000,1058,3
6138000,1116,3
6476000,1222,3
3743000,871,2
2850000,750,1
3173000,835,2
3743000,871,2
4708000,984,2
3094000,884,2
3956000,920,2
2880000,600,1
3743000,871,2
3956000,920,2
2743000,638,1
3363000,885,2
2471000,706,2
2850000,750,1
3173000,835,2
3195000,841,2
3956000,920,2
4988000,1160,2
2089999,550,1
3250000,805,2
3300000,809,2
8214000,1439,3
3893000,614,2
10700000,1909,4
6434000,1092,3
4623000,797,2
4513000,778,2
4733000,816,2
4733000,816,2
4733000,816,2
4513000,778,2
3422999,835,2
3461000,845,2
5063000,1220,3
3461000,845,2
6500000,1159,2
6500000,1159,2
6500000,1131,2
4011999,1056,3
5647000,1255,3
4545000,1010,2
3879000,862,2
3879000,862,2
2416000,636,2
2250000,411,1
2584000,472,1
3934000,622,2
9643000,1691,3
6618000,1138,2
9861000,1569,3
7530000,1208,2
8161000,1316,2
10000000,1647,3
7652000,1229,2
9925000,1618,3
7641000,1227,2
7997000,1288,2
8079000,1302,2
7483000,1200,2
7664000,1231,2
7658000,1230,2
8079000,1302,2
4000000,738,2
2890000,528,1
2075000,379,1
7700000,1414,3
5256000,960,2
4790000,875,2
7800000,1428,3
4188000,765,2
4000000,748,2
12500000,1500,3
9086000,1298,3
8043000,1149,3
8043000,1149,3
7476000,1068,2
7476000,1068,2
6593000,899,2
4519000,1078,3
3810000,905,2
3615999,882,2
3277000,775,2
5244000,1201,3
4563000,1039,2
4278000,971,2
3875000,899,2
3479999,781,2
15400000,1100,3
7342000,1266,3
5800000,1000,2
5689000,981,2
5870000,1223,3
5140000,1071,3
4784000,955,2
4520000,900,2
4084000,851,2
2273000,530,1
9086000,1298,3
8043000,1149,3
8043000,1149,3
7476000,1068,2
7476000,1068,2
6593000,899,2
4519000,1078,3
3810000,905,2
3615999,882,2
3277000,775,2
5244000,1201,3
4563000,1039,2
4278000,971,2
3875000,899,2
3479999,781,2
7450000,1300,3
7130000,1260,3
6088000,1107,3
5200000,1200,3
4000000,954,2
4500000,954,2
5000000,954,2
6336000,1320,3
6336000,1320,3
5380000,1135,3
2428000,495,1
4628000,960,2
4069000,830,2
3789000,765,2
5090000,1020,2
4955000,990,2
6395000,1310,3
6530000,1340,3
5150000,952,2
6804000,1270,3
7116000,1330,3
6700000,1250,3
6010000,1020,2
5525000,950,2
5340000,880,2
5348000,990,2
5348000,990,2
4984000,920,2
5244000,970,2
4836000,945,2
5126000,1068,2
9198000,1260,3
4172000,843,2
4613000,932,2
4950000,1000,2
6010000,1020,2
5525000,950,2
5340000,880,2
9198000,1260,3
4172000,843,2
4613000,932,2
4950000,1000,2
5445000,1100,3
4174000,859,2
4689000,965,2
6076000,1266,3
5130000,950,2
4860000,900,2
4257000,860,2
4356000,880,2
4488000,1020,2
5544000,1260,3
5022000,930,2
4070000,925,2
3828000,870,2
3953000,869,2
4718000,983,2
5116000,1066,2
4140000,900,2
4176000,870,2
4290000,975,2
3889000,884,2
7130000,1150,3
4800000,975,2
4800000,975,2
4400000,879,2
3367000,732,2
4300000,884,2
3220000,700,2
5921000,1048,3
5460000,1200,3
4299000,945,2
5460000,1200,3
4472000,983,2
4850000,1066,3
5181000,942,2
4372000,795,2
4086999,865,2
6033000,1277,3
5036000,1066,2
4928000,896,2
3800000,800,2
4678000,985,2
6963000,1266,3
5197000,1100,3
